id,date,time,na,na1,time_fraction,arrive
1,2019/04/22,6:00,6.00,0.25,0.25,1
2,2019/04/22,6:00,6.00,0.25,0.25,1
3,2019/04/22,6:00,6.00,0.25,0.25,1
4,2019/04/22,6:01,6.02,0.2506944444,0.2506944444,1
5,2019/04/22,6:01,6.02,0.2506944444,0.2506944444,1
6,2019/04/22,6:01,6.02,0.2506944444,0.2506944444,1
7,2019/04/22,6:02,6.03,0.2513888889,0.2513888889,1
8,2019/04/22,6:03,6.05,0.2520833333,0.2520833333,1
9,2019/04/22,6:03,6.05,0.2520833333,0.2520833333,1
10,2019/04/22,6:03,6.05,0.2520833333,0.2520833333,1
11,2019/04/22,6:03,6.05,0.2520833333,0.2520833333,1
12,2019/04/22,6:05,6.08,0.2534722222,0.2534722222,1
13,2019/04/22,6:06,6.10,0.2541666667,0.2541666667,1
14,2019/04/22,6:07,6.12,0.2548611111,0.2548611111,1
15,2019/04/22,6:08,6.13,0.2555555556,0.2555555556,1
16,2019/04/22,6:08,6.13,0.2555555556,0.2555555556,1
17,2019/04/22,6:08,6.13,0.2555555556,0.2555555556,0
18,2019/04/22,6:08,6.13,0.2555555556,0.2555555556,1
19,2019/04/22,6:09,6.15,0.25625,0.25625,1
20,2019/04/22,6:10,6.17,0.2569444444,0.2569444444,1
21,2019/04/22,6:11,6.18,0.2576388889,0.2576388889,1
22,2019/04/22,6:12,6.20,0.2583333333,0.2583333333,1
23,2019/04/22,6:13,6.22,0.2590277778,0.2590277778,1
24,2019/04/22,6:13,6.22,0.2590277778,0.2590277778,1
25,2019/04/22,6:15,6.25,0.2604166667,0.2604166667,1
26,2019/04/22,6:15,6.25,0.2604166667,0.2604166667,1
27,2019/04/22,6:16,6.27,0.2611111111,0.2611111111,1
28,2019/04/22,6:17,6.28,0.2618055556,0.2618055556,1
29,2019/04/22,6:18,6.30,0.2625,0.2625,1
30,2019/04/22,6:18,6.30,0.2625,0.2625,1
31,2019/04/22,6:19,6.32,0.2631944444,0.2631944444,1
32,2019/04/22,6:19,6.32,0.2631944444,0.2631944444,1
33,2019/04/22,6:19,6.32,0.2631944444,0.2631944444,1
34,2019/04/22,6:20,6.33,0.2638888889,0.2638888889,1
35,2019/04/22,6:20,6.33,0.2638888889,0.2638888889,1
36,2019/04/22,6:20,6.33,0.2638888889,0.2638888889,1
37,2019/04/22,6:21,6.35,0.2645833333,0.2645833333,1
38,2019/04/22,6:21,6.35,0.2645833333,0.2645833333,1
39,2019/04/22,6:21,6.35,0.2645833333,0.2645833333,1
40,2019/04/22,6:23,6.38,0.2659722222,0.2659722222,1
41,2019/04/22,6:23,6.38,0.2659722222,0.2659722222,1
42,2019/04/22,6:25,6.42,0.2673611111,0.2673611111,1
43,2019/04/22,6:25,6.42,0.2673611111,0.2673611111,0
44,2019/04/22,6:28,6.47,0.2694444444,0.2694444444,1
45,2019/04/22,6:29,6.48,0.2701388889,0.2701388889,1
46,2019/04/22,6:29,6.48,0.2701388889,0.2701388889,1
47,2019/04/22,6:30,6.50,0.2708333333,0.2708333333,1
48,2019/04/22,6:31,6.52,0.2715277778,0.2715277778,1
49,2019/04/22,6:32,6.53,0.2722222222,0.2722222222,1
50,2019/04/22,6:33,6.55,0.2729166667,0.2729166667,1
51,2019/04/22,6:33,6.55,0.2729166667,0.2729166667,1
52,2019/04/22,6:34,6.57,0.2736111111,0.2736111111,1
53,2019/04/22,6:34,6.57,0.2736111111,0.2736111111,1
54,2019/04/22,6:37,6.62,0.2756944444,0.2756944444,1
55,2019/04/22,6:37,6.62,0.2756944444,0.2756944444,1
56,2019/04/22,6:37,6.62,0.2756944444,0.2756944444,1
57,2019/04/22,6:38,6.63,0.2763888889,0.2763888889,1
58,2019/04/22,6:40,6.67,0.2777777778,0.2777777778,1
59,2019/04/22,6:43,6.72,0.2798611111,0.2798611111,1
60,2019/04/22,6:43,6.72,0.2798611111,0.2798611111,1
61,2019/04/22,6:43,6.72,0.2798611111,0.2798611111,1
62,2019/04/22,6:43,6.72,0.2798611111,0.2798611111,1
63,2019/04/22,6:44,6.73,0.2805555556,0.2805555556,1
64,2019/04/22,6:44,6.73,0.2805555556,0.2805555556,1
65,2019/04/22,6:44,6.73,0.2805555556,0.2805555556,1
66,2019/04/22,6:45,6.75,0.28125,0.28125,1
67,2019/04/22,6:45,6.75,0.28125,0.28125,0
68,2019/04/22,6:46,6.77,0.2819444444,0.2819444444,1
69,2019/04/22,6:47,6.78,0.2826388889,0.2826388889,1
70,2019/04/22,6:47,6.78,0.2826388889,0.2826388889,1
71,2019/04/22,6:48,6.80,0.2833333333,0.2833333333,1
72,2019/04/22,6:49,6.82,0.2840277778,0.2840277778,1
73,2019/04/22,6:49,6.82,0.2840277778,0.2840277778,1
74,2019/04/22,6:49,6.82,0.2840277778,0.2840277778,1
75,2019/04/22,6:50,6.83,0.2847222222,0.2847222222,1
76,2019/04/22,6:51,6.85,0.2854166667,0.2854166667,1
77,2019/04/22,6:52,6.87,0.2861111111,0.2861111111,1
78,2019/04/22,6:53,6.88,0.2868055556,0.2868055556,1
79,2019/04/22,6:55,6.92,0.2881944444,0.2881944444,1
80,2019/04/22,6:56,6.93,0.2888888889,0.2888888889,1
81,2019/04/22,6:56,6.93,0.2888888889,0.2888888889,1
82,2019/04/22,6:57,6.95,0.2895833333,0.2895833333,1
83,2019/04/22,6:57,6.95,0.2895833333,0.2895833333,1
84,2019/04/22,6:58,6.97,0.2902777778,0.2902777778,1
85,2019/04/22,6:59,6.98,0.2909722222,0.2909722222,1
86,2019/04/22,7:00,7.00,0.2916666667,0.2916666667,1
87,2019/04/22,7:00,7.00,0.2916666667,0.2916666667,1
88,2019/04/22,7:02,7.03,0.2930555556,0.2930555556,1
89,2019/04/22,7:03,7.05,0.29375,0.29375,0
90,2019/04/22,7:03,7.05,0.29375,0.29375,1
91,2019/04/22,7:03,7.05,0.29375,0.29375,1
92,2019/04/22,7:03,7.05,0.29375,0.29375,1
93,2019/04/22,7:04,7.07,0.2944444444,0.2944444444,1
94,2019/04/22,7:04,7.07,0.2944444444,0.2944444444,1
95,2019/04/22,7:04,7.07,0.2944444444,0.2944444444,1
96,2019/04/22,7:05,7.08,0.2951388889,0.2951388889,1
97,2019/04/22,7:06,7.10,0.2958333333,0.2958333333,1
98,2019/04/22,7:06,7.10,0.2958333333,0.2958333333,1
99,2019/04/22,7:07,7.12,0.2965277778,0.2965277778,1
100,2019/04/22,7:08,7.13,0.2972222222,0.2972222222,1
101,2019/04/22,7:08,7.13,0.2972222222,0.2972222222,1
102,2019/04/22,7:09,7.15,0.2979166667,0.2979166667,1
103,2019/04/22,7:09,7.15,0.2979166667,0.2979166667,1
104,2019/04/22,7:12,7.20,0.3,0.3,1
105,2019/04/22,7:12,7.20,0.3,0.3,1
106,2019/04/22,7:12,7.20,0.3,0.3,1
107,2019/04/22,7:15,7.25,0.3020833333,0.3020833333,1
108,2019/04/22,7:16,7.27,0.3027777778,0.3027777778,1
109,2019/04/22,7:16,7.27,0.3027777778,0.3027777778,1
110,2019/04/22,7:17,7.28,0.3034722222,0.3034722222,1
111,2019/04/22,7:17,7.28,0.3034722222,0.3034722222,1
112,2019/04/22,7:18,7.30,0.3041666667,0.3041666667,1
113,2019/04/22,7:20,7.33,0.3055555556,0.3055555556,1
114,2019/04/22,7:22,7.37,0.3069444444,0.3069444444,1
115,2019/04/22,7:22,7.37,0.3069444444,0.3069444444,1
116,2019/04/22,7:22,7.37,0.3069444444,0.3069444444,1
117,2019/04/22,7:23,7.38,0.3076388889,0.3076388889,1
118,2019/04/22,7:23,7.38,0.3076388889,0.3076388889,1
119,2019/04/22,7:23,7.38,0.3076388889,0.3076388889,1
120,2019/04/22,7:24,7.40,0.3083333333,0.3083333333,1
121,2019/04/22,7:24,7.40,0.3083333333,0.3083333333,1
122,2019/04/22,7:24,7.40,0.3083333333,0.3083333333,1
123,2019/04/22,7:24,7.40,0.3083333333,0.3083333333,1
124,2019/04/22,7:25,7.42,0.3090277778,0.3090277778,1
125,2019/04/22,7:25,7.42,0.3090277778,0.3090277778,1
126,2019/04/22,7:26,7.43,0.3097222222,0.3097222222,1
127,2019/04/22,7:26,7.43,0.3097222222,0.3097222222,1
128,2019/04/22,7:26,7.43,0.3097222222,0.3097222222,1
129,2019/04/22,7:27,7.45,0.3104166667,0.3104166667,1
130,2019/04/22,7:27,7.45,0.3104166667,0.3104166667,1
131,2019/04/22,7:28,7.47,0.3111111111,0.3111111111,1
132,2019/04/22,7:30,7.50,0.3125,0.3125,1
133,2019/04/22,7:31,7.52,0.3131944444,0.3131944444,1
134,2019/04/22,7:32,7.53,0.3138888889,0.3138888889,1
135,2019/04/22,7:34,7.57,0.3152777778,0.3152777778,1
136,2019/04/22,7:34,7.57,0.3152777778,0.3152777778,1
137,2019/04/22,7:35,7.58,0.3159722222,0.3159722222,1
138,2019/04/22,7:35,7.58,0.3159722222,0.3159722222,1
139,2019/04/22,7:35,7.58,0.3159722222,0.3159722222,1
140,2019/04/22,7:36,7.60,0.3166666667,0.3166666667,1
141,2019/04/22,7:36,7.60,0.3166666667,0.3166666667,1
142,2019/04/22,7:37,7.62,0.3173611111,0.3173611111,1
143,2019/04/22,7:38,7.63,0.3180555556,0.3180555556,1
144,2019/04/22,7:38,7.63,0.3180555556,0.3180555556,1
145,2019/04/22,7:39,7.65,0.31875,0.31875,1
146,2019/04/22,7:39,7.65,0.31875,0.31875,1
147,2019/04/22,7:40,7.67,0.3194444444,0.3194444444,1
148,2019/04/22,7:41,7.68,0.3201388889,0.3201388889,0
149,2019/04/22,7:42,7.70,0.3208333333,0.3208333333,1
150,2019/04/22,7:42,7.70,0.3208333333,0.3208333333,1
151,2019/04/22,7:43,7.72,0.3215277778,0.3215277778,1
152,2019/04/22,7:43,7.72,0.3215277778,0.3215277778,1
153,2019/04/22,7:44,7.73,0.3222222222,0.3222222222,1
154,2019/04/22,7:45,7.75,0.3229166667,0.3229166667,1
155,2019/04/22,7:45,7.75,0.3229166667,0.3229166667,1
156,2019/04/22,7:45,7.75,0.3229166667,0.3229166667,1
157,2019/04/22,7:46,7.77,0.3236111111,0.3236111111,1
158,2019/04/22,7:46,7.77,0.3236111111,0.3236111111,1
159,2019/04/22,7:46,7.77,0.3236111111,0.3236111111,1
160,2019/04/22,7:46,7.77,0.3236111111,0.3236111111,1
161,2019/04/22,7:47,7.78,0.3243055556,0.3243055556,1
162,2019/04/22,7:47,7.78,0.3243055556,0.3243055556,1
163,2019/04/22,7:47,7.78,0.3243055556,0.3243055556,1
164,2019/04/22,7:47,7.78,0.3243055556,0.3243055556,1
165,2019/04/22,7:48,7.80,0.325,0.325,1
166,2019/04/22,7:49,7.82,0.3256944444,0.3256944444,1
167,2019/04/22,7:49,7.82,0.3256944444,0.3256944444,1
168,2019/04/22,7:49,7.82,0.3256944444,0.3256944444,1
169,2019/04/22,7:49,7.82,0.3256944444,0.3256944444,1
170,2019/04/22,7:49,7.82,0.3256944444,0.3256944444,1
171,2019/04/22,7:50,7.83,0.3263888889,0.3263888889,1
172,2019/04/22,7:50,7.83,0.3263888889,0.3263888889,1
173,2019/04/22,7:51,7.85,0.3270833333,0.3270833333,1
174,2019/04/22,7:51,7.85,0.3270833333,0.3270833333,1
175,2019/04/22,7:51,7.85,0.3270833333,0.3270833333,1
176,2019/04/22,7:51,7.85,0.3270833333,0.3270833333,1
177,2019/04/22,7:52,7.87,0.3277777778,0.3277777778,1
178,2019/04/22,7:52,7.87,0.3277777778,0.3277777778,1
179,2019/04/22,7:53,7.88,0.3284722222,0.3284722222,1
180,2019/04/22,7:54,7.90,0.3291666667,0.3291666667,1
181,2019/04/22,7:54,7.90,0.3291666667,0.3291666667,1
182,2019/04/22,7:55,7.92,0.3298611111,0.3298611111,1
183,2019/04/22,7:55,7.92,0.3298611111,0.3298611111,1
184,2019/04/22,7:57,7.95,0.33125,0.33125,1
185,2019/04/22,7:57,7.95,0.33125,0.33125,1
186,2019/04/22,7:59,7.98,0.3326388889,0.3326388889,1
187,2019/04/22,7:59,7.98,0.3326388889,0.3326388889,1
188,2019/04/22,7:59,7.98,0.3326388889,0.3326388889,1
189,2019/04/22,7:59,7.98,0.3326388889,0.3326388889,1
190,2019/04/22,7:59,7.98,0.3326388889,0.3326388889,1
191,2019/04/22,8:00,8.00,0.3333333333,0.3333333333,1
192,2019/04/22,8:01,8.02,0.3340277778,0.3340277778,1
193,2019/04/22,8:01,8.02,0.3340277778,0.3340277778,1
194,2019/04/22,8:01,8.02,0.3340277778,0.3340277778,1
195,2019/04/22,8:02,8.03,0.3347222222,0.3347222222,1
196,2019/04/22,8:02,8.03,0.3347222222,0.3347222222,1
197,2019/04/22,8:02,8.03,0.3347222222,0.3347222222,0
198,2019/04/22,8:02,8.03,0.3347222222,0.3347222222,1
199,2019/04/22,8:03,8.05,0.3354166667,0.3354166667,1
